Time	Total_infected	Unique_genotypes	Occupied_patches	Genealogical_diversity	TMRCA	Genetic_divergence	Sim
10.0	14	3	3	1.1785714285714286	5.25	1.3928571428571428	ext_0.0_col_0.001_Npatch_1000_PatchSize_100
20.0	21	3	3	1.8095238095238095	18.0	5.654761904761905	ext_0.0_col_0.001_Npatch_1000_PatchSize_100
30.0	19	3	3	1.4210526315789473	4.5	8.394736842105264	ext_0.0_col_0.001_Npatch_1000_PatchSize_100
40.0	18	4	4	28.36111111111111	30.75	25.90277777777778	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
50.0	58	6	6	45.37	41.75	40.355	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
60.0	15	4	4	44.56666666666667	31.25	50.083333333333336	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
70.0	22	7	7	18.272727272727273	26.0	64.81818181818181	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
80.0	9	3	3	23.77777777777778	17.75	59.388888888888886	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
90.0	18	4	4	3.5555555555555554	4.75	85.16666666666667	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
100.0	21	6	6	11.547619047619047	12.0	95.01190476190476	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
110.0	18	6	6	20.666666666666668	23.0	103.25	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
120.0	20	5	5	2.775	3.5	114.0875	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
130.0	5	3	3	27.0	14.5	126.0	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
140.0	20	4	4	20.9	17.5	128.125	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
150.0	18	2	2	43.22222222222222	22.0	146.61111111111111	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
160.0	16	7	7	4.3125	3.25	158.21875	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
170.0	34	6	6	7.911764705882353	7.75	162.25	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
180.0	36	6	6	15.430555555555555	16.25	167.88194444444446	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
190.0	12	3	3	13.083333333333334	15.5	164.54166666666666	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
200.0	24	4	4	26.25	36.0	173.79166666666666	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
210.0	12	7	7	61.708333333333336	50.25	207.39583333333334	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
220.0	17	4	4	9.764705882352942	7.5	216.2941176470588	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
230.0	0	0	0	0.0	0.0	0.0	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
240.0	0	0	0	0.0	0.0	0.0	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
250.0	0	0	0	0.0	0.0	0.0	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
260.0	0	0	0	0.0	0.0	0.0	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
270.0	0	0	0	0.0	0.0	0.0	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
280.0	0	0	0	0.0	0.0	0.0	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
290.0	0	0	0	0.0	0.0	0.0	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
300.0	0	0	0	0.0	0.0	0.0	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
310.0	0	0	0	0.0	0.0	0.0	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
320.0	0	0	0	0.0	0.0	0.0	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
330.0	0	0	0	0.0	0.0	0.0	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
340.0	0	0	0	0.0	0.0	0.0	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
350.0	0	0	0	0.0	0.0	0.0	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
360.0	0	0	0	0.0	0.0	0.0	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
370.0	0	0	0	0.0	0.0	0.0	ext_0.5_col_0.001_Npatch_1000_PatchSize_100
